eph_aglome,RADIO,PERSONAS,decil_NSE
CABA,020020101,105,1
CABA,020020102,518,1
CABA,020020201,587,9
CABA,020020202,878,10
CABA,020020203,572,10
CABA,020020204,540,10
CABA,020020205,600,10
CABA,020020206,472,9
CABA,020020207,301,10
CABA,020020208,697,10
CABA,020020301,895,10
CABA,020020302,745,9
CABA,020020303,266,10
CABA,020020304,369,10
CABA,020020305,714,10
CABA,020020306,678,10
CABA,020020307,885,10
CABA,020020308,606,10
CABA,020020401,823,10
CABA,020020402,233,8
CABA,020020403,365,10
CABA,020020404,499,9
CABA,020020405,702,10
CABA,020020406,539,10
CABA,020020407,617,9
CABA,020020408,997,10
CABA,020020409,812,10
CABA,020020410,884,9
CABA,020020501,710,9
CABA,020020502,887,10
CABA,020020503,661,8
CABA,020020504,544,9
CABA,020020505,777,10
CABA,020020506,811,10
CABA,020020507,828,10
CABA,020020508,700,10
CABA,020020509,616,9
CABA,020020601,432,9
CABA,020020602,1346,10
CABA,020020603,638,10
CABA,020020604,835,10
CABA,020020605,488,8
CABA,020020606,680,9
CABA,020020607,392,10
CABA,020020608,569,8
CABA,020020609,501,10
CABA,020020610,515,8
CABA,020020701,1419,10
CABA,020020702,1073,10
CABA,020020703,922,9
CABA,020020704,672,10
CABA,020020705,524,10
CABA,020020706,590,9
CABA,020020707,933,9
CABA,020020708,435,8
CABA,020020709,530,9
CABA,020020801,713,8
CABA,020020802,702,10
CABA,020020803,900,10
CABA,020020804,1105,9
CABA,020020805,907,9
CABA,020020806,1247,9
CABA,020020807,1495,10
CABA,020020808,848,10
CABA,020020901,765,10
CABA,020020902,681,9
CABA,020020903,865,10
CABA,020020904,1021,10
CABA,020020905,1028,9
CABA,020020906,900,10
CABA,020020907,949,10
CABA,020020908,1377,9
CABA,020020909,1150,9
CABA,020021001,975,9
CABA,020021002,637,10
CABA,020021003,441,9
CABA,020021004,785,10
CABA,020021005,812,9
CABA,020021006,695,10
CABA,020021007,868,10
CABA,020021008,856,10
CABA,020021009,611,9
CABA,020021101,1196,10
CABA,020021102,564,9
CABA,020021103,1643,10
CABA,020021104,1393,10
CABA,020021105,309,10
CABA,020021106,527,9
CABA,020021201,970,10
CABA,020021202,818,10
CABA,020021203,943,10
CABA,020021204,1250,10
CABA,020021205,1242,9
CABA,020021206,983,9
CABA,020021301,1196,10
CABA,020021302,890,9
CABA,020021303,973,10
CABA,020021304,1112,10
CABA,020021305,1371,10
CABA,020021306,1052,10
CABA,020021307,1211,10
CABA,020021401,760,10
CABA,020021402,575,10
CABA,020021403,355,8
CABA,020021404,743,10
CABA,020021405,1124,8
CABA,020021406,1031,10
CABA,020021407,648,7
CABA,020021408,695,8
CABA,020021409,1475,10
CABA,020021410,1006,9
CABA,020021501,601,10
CABA,020021502,798,8
CABA,020021503,1393,10
CABA,020021504,628,9
CABA,020021505,555,9
CABA,020021506,605,10
CABA,020021507,756,10
CABA,020021508,708,10
CABA,020021601,807,9
CABA,020021602,712,9
CABA,020021603,698,9
CABA,020021604,534,10
CABA,020021605,822,9
CABA,020021606,675,9
CABA,020021607,770,10
CABA,020021608,425,9
CABA,020021701,1217,9
CABA,020021702,838,10
CABA,020021703,931,9
CABA,020021704,339,7
CABA,020021705,532,10
CABA,020021706,986,9
CABA,020021707,1121,9
CABA,020021708,913,9
CABA,020021709,741,10
CABA,020021801,891,9
CABA,020021802,1188,10
CABA,020021803,787,10
CABA,020021804,1185,7
CABA,020021805,549,9
CABA,020021806,744,8
CABA,020021807,595,9
CABA,020021808,912,8
CABA,020021901,854,9
CABA,020021902,675,8
CABA,020021903,717,9
CABA,020021904,997,8
CABA,020021905,790,8
CABA,020021906,745,7
CABA,020021907,682,8
CABA,020021908,831,6
CABA,020022001,959,9
CABA,020022002,822,8
CABA,020022003,751,9
CABA,020022004,841,8
CABA,020022005,504,9
CABA,020022006,637,7
CABA,020022007,569,9
CABA,020022008,671,10
CABA,020022101,1058,10
CABA,020022102,959,10
CABA,020022103,775,7
CABA,020022104,1046,10
CABA,020022105,984,10
CABA,020022106,926,9
CABA,020022201,699,10
CABA,020022202,534,10
CABA,020022203,439,10
CABA,020022204,959,10
CABA,020022205,1093,10
CABA,020022206,1016,9
CABA,020022301,1079,9
CABA,020022302,1025,10
CABA,020022303,928,10
CABA,020022304,849,9
CABA,020022305,650,10
CABA,020022306,406,9
CABA,020022307,456,9
CABA,020022308,445,8
CABA,020022309,943,10
CABA,020022401,1012,10
CABA,020022402,787,9
CABA,020022403,795,10
CABA,020022404,1050,9
CABA,020022405,922,9
CABA,020022406,968,8
CABA,020022501,570,10
CABA,020022502,647,10
CABA,020022503,743,5
CABA,020022504,757,10
CABA,020022505,930,8
CABA,020022506,759,5
CABA,020022507,768,8
CABA,020022508,1222,9
CABA,020022509,775,9
CABA,020022510,605,9
CABA,020022511,1037,5
CABA,020030101,1026,7
CABA,020030102,903,7
CABA,020030103,960,7
CABA,020030104,490,5
CABA,020030105,909,3
CABA,020030106,715,2
CABA,020030107,847,1
CABA,020030108,491,1
CABA,020030109,530,5
CABA,020030110,438,2
CABA,020030111,462,5
CABA,020030201,742,6
CABA,020030202,714,6
CABA,020030203,676,6
CABA,020030204,734,7
CABA,020030205,872,3
CABA,020030206,927,2
CABA,020030207,1021,4
CABA,020030208,866,3
CABA,020030209,836,3
CABA,020030210,427,5
CABA,020030211,602,6
CABA,020030212,845,6
CABA,020030301,1101,7
CABA,020030302,860,7
CABA,020030303,614,7
CABA,020030304,516,6
CABA,020030305,579,4
CABA,020030306,823,5
CABA,020030307,802,5
CABA,020030308,726,7
CABA,020030309,285,7
CABA,020030310,950,2
CABA,020030311,869,1
CABA,020030401,736,9
CABA,020030402,499,5
CABA,020030403,681,8
CABA,020030404,772,6
CABA,020030405,683,3
CABA,020030406,655,7
CABA,020030407,674,6
CABA,020030408,724,3
