id,n,total_ha
10140,1,0.5718878890819847
10141,0,0
10142,2,2.5421189281835685
10143,0,0
10144,0,0
10145,1,0.5753598825908848
10146,0,0
10147,2,2.5421189281835685
10148,2,2.5421189281835685
10149,2,2.5421189281835685
1015,4,2.279029380210256
10150,1,0.7174914740574663
10151,0,0
10152,1,0.8989679434360937
10153,3,2.891229520509532
10154,0,0
10155,3,2.891229520509532
10156,3,2.891229520509532
10157,1,4.027439762999863
10158,0,0
10159,1,4.027439762999863
1016,5,8.73208481001357
10160,1,4.027439762999863
10161,0,0
10162,1,4.027439762999863
10163,1,4.027439762999863
10164,1,4.027439762999863
10167,0,0
10168,2,1.370733749037469
1017,5,9.073145748532028
10173,2,1.370733749037469
10174,2,1.370733749037469
10175,1,0.728120574569935
10178,1,71.52503223417031
10179,1,0.9520419515512883
1018,3,1.8856295109172585
10181,2,1.790521980395983
10182,1,1.9808180840078276
10183,2,2.6594370837358294
10184,3,3.24764912096723
10185,0,0
10186,1,1.4365632805146278
10187,1,0.6786189997280017
10188,3,3.2718496107170356
10189,3,4.923738744074502
1019,2,1.1474872861241456
10190,1,1.4365632805146278
10191,1,1.4365632805146278
10192,1,1.4365632805146278
10193,1,1.4365632805146278
10194,1,1.4365632805146278
10195,1,1.4365632805146278
10196,2,3.414641231542663
10197,2,3.414641231542663
10198,2,3.414641231542663
10199,2,2.713059070756659
102,6,17.546465535591658
1020,5,2.9359779942493653
10200,0,0
10201,0,0
10202,2,1.4810932033122284
10203,2,1.4810932033122284
10204,3,2.4331351548635167
10205,1,0.9520419515512883
10206,3,4.26110972490604
10207,2,2.280291640898213
10208,1,0.9520419515512883
10209,2,3.309067773354752
1021,2,6.512047758340941
10210,3,74.85830049727487
10211,5,6.580917384071788
10212,5,6.580917384071788
10213,3,3.2718496107170356
10214,2,2.593230610989034
10215,3,3.8836797640100125
10216,4,75.15308641737423
10217,4,4.359310697145481
10218,3,4.923738744074502
10219,4,6.101606792999548
1022,1,0.8942443545237766
10220,3,3.77109865991408
10221,4,3.3865212992678395
10222,2,1.7660800861564465
10223,2,3.5461767183364605
10224,3,5.551195292094094
10225,4,6.6353283905512885
10226,1,71.52503223417031
10227,1,71.52503223417031
10228,1,71.52503223417031
10229,1,71.52503223417031
1023,1,0.8942443545237766
10230,2,72.85328192351723
10231,2,72.85328192351723
10232,2,72.85328192351723
10233,4,73.9080315178766
10234,3,2.264781991127087
10235,1,0.6946437596147415
10236,0,0
10237,0,0
10238,1,1.2961031992063858
10239,1,0.6946437596147415
1024,1,2.2214881678230127
10240,0,0
10241,0,0
10242,1,0.7599636742600007
10243,3,2.3804048873713937
10244,3,2.3804048873713937
10245,3,3.4965790136297232
10246,4,4.569203122170549
10247,1,0.5478171045705676
10248,1,0.5478171045705676
10249,0,0
1025,1,2.2214881678230127
10250,0,0
10251,1,1.7330933238081634
10252,1,1.7330933238081634
10253,3,3.841227769347094
10254,3,3.4328972049569013
10255,1,1.7330933238081634
10256,0,0
10257,0,0
10258,1,1.7330933238081634
10259,1,0.8073380208607996
1026,0,0
10260,0,0
10261,0,0
10262,2,3.414641231542663
10263,4,6.363403140601818
10264,5,7.255869000889756
10265,5,7.255869000889756
10266,4,6.171735902432562
10267,2,3.414641231542663
10268,2,1.9765989587451331
10269,2,2.625559184096102
1027,0,0
10270,2,2.625559184096102
10271,2,2.625559184096102
10272,1,0.8924658602879383
10273,1,0.8924658602879383
10274,2,1.699803881148738
10275,3,3.4328972049569013
10276,2,1.699803881148738
10277,2,1.699803881148738
10278,1,0.8073380208607996
10279,0,0
1028,0,0
10280,0,0
10281,0,0
10282,1,1.2764957902420313
10283,1,1.2764957902420313
10284,3,3.797192169213854
10285,2,3.414641231542663
10286,1,1.0841330984571949
10287,1,1.0841330984571949
10288,0,0
10289,0,0
1029,0,0
10290,0,0
10291,0,0
10292,1,1.2764957902420313
10293,0,0
10294,1,0.7251978182347025
10295,1,0.7251978182347025
10296,2,1.5517817538090517
10297,1,0.8073380208607996
10298,1,0.8073380208607996
10299,1,0.8073380208607996
103,6,16.290250143907457
1030,0,0
10300,0,0
10301,2,1.5325358390955022
10302,3,3.354163260806771
10303,3,3.354163260806771
10304,3,3.354163260806771
10305,4,3.8851860122703483
1031,0,0
10310,2,1.3576066870379262
10311,1,0.5310227514635771
10312,3,3.1599881940356456
10313,2,2.6289654425720683
10314,3,3.354163260806771
10315,3,3.354163260806771
10316,2,2.6289654425720683
10317,0,0
1032,0,0
10323,0,0
10324,1,0.6285126317800023
10325,0,0
10326,0,0
10327,0,0
10328,0,0
10329,0,0
1033,0,0
10330,0,0
10331,0,0
10332,0,0
10333,0,0
10334,0,0
10335,0,0
10336,0,0
10337,0,0
10338,0,0
10339,0,0
1034,0,0
10340,0,0
10341,0,0
10342,0,0
10343,0,0
10344,0,0
10345,0,0
10346,0,0
10347,0,0
10348,0,0
10349,2,1.2474781305979006
1035,0,0
10350,1,0.5952871581124142
10351,1,0.5952871581124142
10352,1,1.151258988574054
10353,0,0
10354,0,0
10355,0,0
10356,0,0
10357,0,0
10358,0,0
10359,1,0.5814566567137838
1036,0,0
10360,1,2.8945582787875086
10361,1,0.5814566567137838
10362,2,1.6390811467936728
10363,2,1.6390811467936728
10364,2,1.6390811467936728
10365,1,1.057624490079889
10366,2,3.5293594320062547
10367,2,3.5293594320062547
10368,1,2.8945582787875086
10369,1,1.057624490079889
1037,0,0
10370,1,0.551907959998399
10371,1,0.551907959998399
10372,2,3.5293594320062547
10373,0,0
10374,0,0
10375,0,0
10376,0,0
10377,0,0
10378,0,0
10379,0,0
1038,1,1.2296205608780495
10380,0,0
10381,0,0
10382,0,0
10383,0,0
10384,1,0.5814566567137838
10385,1,1.058888544434309
10386,2,1.6403452011480928
10387,1,0.5814566567137838
10388,1,0.5814566567137838
10389,1,0.5814566567137838
1039,1,0.9263564030908572
10390,1,1.058888544434309
10391,2,1.6403452011480928
10392,1,1.057624490079889
10393,1,1.058888544434309
10394,0,0
10395,1,1.058888544434309
10396,1,1.058888544434309
10397,1,1.058888544434309
10398,1,1.058888544434309
10399,1,1.058888544434309
104,5,14.56420479223095
1040,2,2.155976963968907
10400,1,1.058888544434309
10401,1,1.057624490079889
10402,1,1.057624490079889
10403,0,0
10404,1,1.058888544434309
10405,0,0
10406,1,1.057624490079889
10407,0,0
10408,1,1.058888544434309
10409,1,1.057624490079889
1041,1,1.2296205608780495
10410,1,1.057624490079889
10411,1,1.057624490079889
10412,1,1.057624490079889
10413,1,1.057624490079889
10414,1,1.057624490079889
10415,1,1.057624490079889
10416,1,1.057624490079889
10417,0,0
10418,0,0
10419,0,0
1042,1,1.2296205608780495
10420,0,0
10421,0,0
10422,0,0
10423,0,0
10424,1,0.551907959998399
10425,1,1.057624490079889
10426,0,0
10427,1,1.5749327053294517
10428,1,1.5749327053294517
10429,1,3.158591840765951
1043,1,1.2296205608780495
10430,1,3.158591840765951
10431,1,3.158591840765951
10432,0,0
10433,0,0
10434,0,0
10435,0,0
10436,1,0.5952871581124142
10437,0,0
10438,0,0
10439,0,0
1044,1,0.9263564030908572
10440,0,0
10441,2,2.5478715616786385
10444,1,0.6285126317800023
10447,0,0
10448,0,0
10449,0,0
1045,1,1.2296205608780495
10450,0,0
10451,1,7.997262464584253
10452,0,0
10453,0,0
10454,0,0
10455,0,0
10456,0,0
10457,0,0
10458,0,0
10459,1,7.997262464584253
1046,1,1.1218084591275255
10460,0,0
10461,0,0
10462,0,0
10463,1,2.3128143507286905
10464,0,0
10465,1,2.3128143507286905
10466,1,2.8945582787875086
10467,3,5.842173782734945
10468,0,0
10469,2,3.5293594320062547
1047,1,1.1218084591275255
10470,2,3.5293594320062547
10471,1,0.6348011532187462
10472,2,3.5293594320062547
10473,2,3.5293594320062547
10474,2,3.5293594320062547
10475,2,3.5293594320062547
10476,2,3.5293594320062547
10477,2,3.5293594320062547
10478,1,2.8945582787875086
10479,0,0
1048,1,1.1218084591275255
10480,0,0
10481,0,0
10482,0,0
10483,0,0
10484,0,0
10485,0,0
10486,1,3.158591840765951
10487,1,3.158591840765951
10488,1,3.158591840765951
10489,1,3.158591840765951
1049,1,1.1218084591275255
10490,1,3.158591840765951
10491,1,3.158591840765951
10492,0,0
10493,0,0
10494,0,0
10495,0,0
10496,0,0
10497,0,0
10498,0,0
10499,0,0
105,8,15.373059993778071
1050,1,1.1218084591275255
10500,0,0
10501,1,2.3128143507286905
10502,1,2.3128143507286905
10503,0,0
10504,0,0
10505,0,0
10506,0,0
10507,4,2.9835349545283245
10508,6,4.368945063571446
10509,4,2.447144850834645
1051,3,3.642138484165951
10510,5,3.151236837389134
10511,1,0.5913239889532328
10512,0,0
10513,0,0
10514,0,0
10515,2,2.054975142015517
10516,0,0
10517,0,0
10518,0,0
10519,0,0
1052,2,2.351429020005575
10520,0,0
10521,0,0
10522,0,0
10523,1,0.8964110431477428
10524,0,0
10525,1,0.8398734325222671
10526,2,1.5244755207546055
10527,1,0.8398734325222671
10528,1,0.8398734325222671
10529,2,2.4614667284626512
1053,2,2.520330025038426
10530,0,0
10531,3,4.840718174559437
10532,1,0.8964110431477428
10533,0,0
10534,0,0
10535,0,0
10536,0,0
10537,0,0
10538,1,0.6846020882323385
10539,0,0
1054,1,1.2296205608780495
10540,0,0
10541,1,8.518632932561077
10542,2,5.40657085839063
10543,3,7.415247814718262
10544,4,8.246577492874582
10545,5,12.09621385085797
10546,1,2.008676956327632
10547,2,5.226068518828973
10548,0,0
10549,2,5.40657085839063
1055,2,2.520330025038426
10550,2,3.9724485944282266
10551,1,1.3046786541622133
10552,2,2.0597356860890983
10553,2,3.9724485944282266
10554,0,0
10555,0,0
10556,0,0
10557,3,13.925203790951707
10558,2,2.0597356860890983
10559,4,14.4832174332737
1056,2,2.520330025038426
10560,1,2.1891792958892884
10561,4,100.84023037417099
10562,3,98.83155341784335
10563,4,104.3465132430186
10564,2,97.83976595286778
10565,3,96.11497170644361
10566,3,96.11497170644361
10567,3,96.11497170644361
10568,4,97.90725936265295
10569,5,99.91593631898057
1057,2,2.520330025038426
10570,5,99.91593631898057
10571,5,99.91593631898057
10572,5,99.91593631898057
10573,5,11.780033589780052
10574,5,11.780033589780052
10575,6,20.025350486506802
10576,3,13.925203790951707
10577,3,13.925203790951707
10578,6,102.42129587594778
10579,3,96.11497170644361
1058,2,2.520330025038426
10580,4,97.4451915415078
10581,1,92.32480612769253
10582,3,95.58052621211498
10583,0,0
10584,1,0.6832219655700028
10585,1,0.6832219655700028
10586,1,0.6832219655700028
10587,1,0.6832219655700028
10588,1,0.6832219655700028
10589,1,0.6832219655700028
1059,2,2.520330025038426
10590,2,1.2390310719892383
10591,2,1.2390310719892383
10592,1,0.6832219655700028
