eph_aglome,localidade,decil_NSE,poblacion,tasa_acceso,total_ha_accesibles,m2_accesibles_per_capita
Gran Catamarca,San Fernando del Valle de Catamarca,6,10351,0.8987537435996522,12.981720027165476,12.54151292354891
Gran Catamarca,San Fernando del Valle de Catamarca,7,13946,1,176.88611626575187,126.83645221981347
Gran Catamarca,San Fernando del Valle de Catamarca,8,13254,0.9283235249735928,109.6435959334646,82.72491016558368
Gran Catamarca,San Fernando del Valle de Catamarca,9,15705,0.872906717605858,127.28818651396354,81.04946610249189
Gran Catamarca,San Fernando del Valle de Catamarca,10,11165,1,64.16493423425281,57.4697127042121
Gran Catamarca,San Isidro,2,5926,0.4449881876476544,2.162845521211496,3.649756195091961
Gran Catamarca,San Isidro,3,4286,0,0,0
Gran Catamarca,San Isidro,4,1378,1,0.866742321998591,6.289857198828671
Gran Catamarca,San Isidro,5,3242,0,0,0
Gran Catamarca,San Isidro,6,6822,0.30284374083846377,2.9750653142170167,4.360986974812397
Gran Catamarca,San Isidro,7,3343,0,0,0
Gran Catamarca,San Isidro,8,677,0,0,0
Gran Catamarca,San José,2,598,0,0,0
Gran Catamarca,San José,3,3790,0,0,0
Gran Catamarca,San José,4,2746,0.3026219956300073,1.7611884622231126,6.413650627178123
Gran Catamarca,San José,5,1634,1,1.86714566302225,11.426840042975826
Gran Catamarca,San José,6,1474,0.4728629579375848,1.7660313933692522,11.981217051351779
Gran Córdoba,Agua de Oro,4,950,0.5873684210526315,0.5804856604920701,6.110375373600738
Gran Córdoba,Agua de Oro,5,445,0,0,0
Gran Córdoba,Agua de Oro,6,289,0,0,0
Gran Córdoba,Agua de Oro,7,234,1,0.5804856604920701,24.807079508208123
Gran Córdoba,Córdoba,1,194624,0.6973960046037487,1853.1057288949642,95.21465640902274
Gran Córdoba,Córdoba,2,166203,0.7768030661299736,1830.7375405887753,110.1506916595233
Gran Córdoba,Córdoba,3,149227,0.8401361683877583,2060.8989237949627,138.104962493045
Gran Córdoba,Córdoba,4,134438,0.9425534447105729,2819.629860130542,209.73458844452776
Gran Córdoba,Córdoba,5,110374,0.8886422527044413,2465.9175884868355,223.41471619102646
Gran Córdoba,Córdoba,6,122726,0.9019278718445969,3295.671357085152,268.5389694999554
Gran Córdoba,Córdoba,7,116910,0.9051663672910786,5789.695142413993,495.22668226960855
Gran Córdoba,Córdoba,8,104097,0.9596145902379511,7913.922672604945,760.2450284450987
Gran Córdoba,Córdoba,9,98790,0.8888349023180484,10029.261329583307,1015.2101760890076
Gran Córdoba,Córdoba,10,99536,0.9104846487702941,11504.831837848162,1155.8463106663078
Gran Córdoba,El Manzano,1,531,0,0,0
Gran Córdoba,El Manzano,2,361,0,0,0
Gran Córdoba,La Calera,1,4576,0.37521853146853146,8.37029285961995,18.29172390651213
Gran Córdoba,La Calera,2,9209,0.46726028884786625,11.904194642655364,12.926696321701993
Gran Córdoba,La Calera,3,5805,0.8744186046511628,20.0780575412272,34.58752375749733
Gran Córdoba,La Calera,4,4012,0.9202392821535393,26.00098862878941,64.80804742968448
Gran Córdoba,La Calera,5,3007,1,17.320138098182902,57.59939507210809
Gran Córdoba,La Calera,6,1528,1,3.637361600229144,23.80472251458864
Gran Córdoba,La Calera,7,1773,0.8967851099830795,5.30467025601156,29.919177980888666
Gran Córdoba,La Calera,9,537,1,8.680850530606508,161.6545722645532
Gran Córdoba,La Calera,10,1525,0.3777049180327869,8.680850530606508,56.92361003676398
Gran Córdoba,La Granja,3,544,0,0,0
Gran Córdoba,La Granja,4,453,0,0,0
Gran Córdoba,La Granja,5,1459,0.7422892392049348,7.5824448221515865,51.970149569236376
Gran Córdoba,Mendiolaza,5,1087,0,0,0
Gran Córdoba,Mendiolaza,7,2451,0.6727866177070584,2.43057263493957,9.916657017297306
Gran Córdoba,Mendiolaza,8,2933,0.7258779406750767,6.814446186567028,23.233706739062487
Gran Córdoba,Mendiolaza,9,2656,1,1.7795246536640452,6.700017521325472
Gran Córdoba,Mendiolaza,10,1144,0,0,0
Gran Córdoba,Parque Norte - Ciudad de los Niños - Villa Pastora - Almirante Brown - Guiñazú Norte - 1 de Agosto,1,3740,0,0,0
Gran Córdoba,Parque Norte - Ciudad de los Niños - Villa Pastora - Almirante Brown - Guiñazú Norte - 1 de Agosto,2,197,0,0,0
Gran Córdoba,Parque Norte - Ciudad de los Niños - Villa Pastora - Almirante Brown - Guiñazú Norte - 1 de Agosto,3,1773,0,0,0
Gran Córdoba,Río Ceballos,2,812,0,0,0
Gran Córdoba,Río Ceballos,3,5155,0,0,0
Gran Córdoba,Río Ceballos,4,2486,0,0,0
Gran Córdoba,Río Ceballos,5,6317,0,0,0
Gran Córdoba,Río Ceballos,6,3623,0,0,0
Gran Córdoba,Río Ceballos,7,824,0,0,0
Gran Córdoba,Río Ceballos,8,471,0,0,0
Gran Córdoba,Saldán,3,2572,0,0,0
Gran Córdoba,Saldán,4,3717,0.43260694108151737,3.0697464710224973,8.258666857741451
Gran Córdoba,Saldán,5,2233,1,1.325656221900694,5.936660196599615
Gran Córdoba,Saldán,6,2083,1,3.732574581972844,17.91922506948077
Gran Córdoba,Salsipuedes,1,614,0,0,0
Gran Córdoba,Salsipuedes,2,1972,0.29969574036511154,1.2321767598494888,6.248360851163736
Gran Córdoba,Salsipuedes,3,1487,1,3.7596208168953194,25.283260369168254
Gran Córdoba,Salsipuedes,4,2166,0.6181902123730378,8.19711344282446,37.84447572864478
Gran Córdoba,Salsipuedes,5,2971,0.5227196230225514,6.609067303810828,22.245261877518775
Gran Córdoba,Salsipuedes,6,402,1,3.304533651905414,82.2023296493884
Gran Córdoba,Unquillo,1,1246,0,0,0
Gran Córdoba,Unquillo,2,2991,0,0,0
Gran Córdoba,Unquillo,3,2131,0.3697794462693571,1.8260433532064315,8.568950507773025
Gran Córdoba,Unquillo,4,2740,0.27116788321167884,1.8260433532064315,6.6643918000234725
Gran Córdoba,Unquillo,5,6744,0,0,0
Gran Córdoba,Unquillo,6,1385,0,0,0
Gran Córdoba,Unquillo,7,849,0,0,0
Gran Córdoba,Villa Allende,1,1098,0,0,0
Gran Córdoba,Villa Allende,2,3004,0.6208388814913449,5.393881225997256,17.95566320238767
Gran Córdoba,Villa Allende,3,1059,1,1.2754570108005776,12.043975550524813
Gran Córdoba,Villa Allende,4,1782,0.49719416386083054,2.1778058157260993,12.221132523715484
Gran Córdoba,Villa Allende,5,5673,0.6234796404019037,6.4538903127853295,11.376503283598325
Gran Córdoba,Villa Allende,6,3837,0.783163930153766,5.419407533799484,14.124074886107596
Gran Córdoba,Villa Allende,7,3157,0.6613873930947102,3.5081285930661017,11.112222341039283
Gran Córdoba,Villa Allende,8,3122,0,0,0
Gran Córdoba,Villa Allende,9,610,0,0,0
Gran Córdoba,Villa Allende,10,2396,0,0,0
Gran La Plata,Berisso,1,14703,0.5026865265592056,12.866124624294788,8.750679877776498
Gran La Plata,Berisso,2,20789,0.42503246909423253,22.030778136808006,10.59732461244312
Gran La Plata,Berisso,3,19835,0.47577514494580286,19.590169627019158,9.876566487027555
Gran La Plata,Berisso,4,16434,0.6346598515273214,39.616121875871954,24.1061956163271
Gran La Plata,Berisso,5,9139,0.949338001969581,65.52876402977515,71.70233508017851
Gran La Plata,Berisso,6,2696,0.8601632047477745,73.03265209476939,270.8926264642781
Gran La Plata,Berisso,7,448,1,30.711032927045135,685.5141278358288
Gran La Plata,Ensenada,1,11905,0.4872742545149097,365.2291089999302,306.78631583362466
Gran La Plata,Ensenada,2,13047,0.45604353491224037,185.14999344579007,141.9100126050357
Gran La Plata,Ensenada,3,12270,0.5220863895680522,186.73021049793917,152.18436063401725
Gran La Plata,Ensenada,4,9346,1,596.9367258622106,638.7082450911732
Gran La Plata,Ensenada,5,6155,0.829731925264013,11.301248278167634,18.36108574844457
Gran La Plata,Ensenada,6,969,1,0.8892115859001875,9.176590153768704
Gran La Plata,Ensenada,7,357,0,0,0
Gran La Plata,Ensenada,8,723,0,0,0
Gran La Plata,La Plata,1,84569,0.2571036668282704,27.44882680468309,3.245731509735611
Gran La Plata,La Plata,2,74180,0.4072930709086007,97.35394778892426,13.124015609183642
Gran La Plata,La Plata,3,63860,0.3528186658315064,195.35209149137484,30.590681411114133
Gran La Plata,La Plata,4,63283,0.4400865951361345,75.4248381285144,11.918657163616516
Gran La Plata,La Plata,5,63540,0.3730248662259994,168.96153888807711,26.59136589362246
Gran La Plata,La Plata,6,66363,0.5234844717689073,432.34046009949486,65.14781732282972
Gran La Plata,La Plata,7,65574,0.7687955592155428,1034.0332563521724,157.68951968038743
Gran La Plata,La Plata,8,59602,0.766014563269689,1162.7952798905858,195.0933324201513
Gran La Plata,La Plata,9,52843,0.90672369093352,1096.982459192391,207.5927671011091
Gran La Plata,La Plata,10,44869,0.9583231184113753,1316.26614252313,293.3575837489425
Gran La Plata,Ruta Sol,1,1535,0,0,0
Gran La Plata,Ruta Sol,2,343,0,0,0
Gran Mendoza,Godoy Cruz,1,24175,0.5176421923474664,947.0682393384241,391.7552179269593
Gran Mendoza,Godoy Cruz,2,19608,0.5298347613219094,36.039108180122376,18.379798133477344
Gran Mendoza,Godoy Cruz,3,15520,0.46836340206185567,122.35633200008489,78.83784278355985
Gran Mendoza,Godoy Cruz,4,16286,0.46303573621515415,479.04080493667385,294.14270228212814
Gran Mendoza,Godoy Cruz,5,23359,0.5965152617834668,1474.5365470102058,631.2498595873991
Gran Mendoza,Godoy Cruz,6,18337,0.5871734743960298,956.1778126376925,521.4472447170707
Gran Mendoza,Godoy Cruz,7,24811,0.7034379912135746,532.7198021107716,214.7111370403336
Gran Mendoza,Godoy Cruz,8,22440,0.6258021390374332,581.7962269959535,259.2674808359864
Gran Mendoza,Godoy Cruz,9,14459,0.8829794591603846,520.4391086301279,359.9412882150411
Gran Mendoza,Godoy Cruz,10,10763,0.8275573724797919,2270.858161736691,2109.874720558107
Gran Mendoza,Guaymallén,1,21106,0.33398085852364257,6.496132838521502,3.077860721369043
Gran Mendoza,Guaymallén,2,32398,0.581548243718748,35.79704203428554,11.049151810076406
Gran Mendoza,Guaymallén,3,34155,0.7063973063973064,291.35519863725943,85.30382041787715
Gran Mendoza,Guaymallén,4,37316,0.5788669739521921,286.74619856810517,76.84269443887479
Gran Mendoza,Guaymallén,5,27811,0.6297867750170796,699.9889372572769,251.6949902043353
Gran Mendoza,Guaymallén,6,35836,0.7337593481415337,926.2470010208814,258.4683003183618
Gran Mendoza,Guaymallén,7,24013,0.7444301003623037,1220.8532299372623,508.4134551856338
