eph_aglome,decil_NSE,poblacion,tasa_acceso,total_ha_accesibles,m2_accesibles_per_capita
Gran Paraná,9,17386,0.8900839756125618,301.7373429820773,173.55190554588594
Gran Paraná,10,17171,0.964999126434104,558.6219015100576,325.3286946072201
Gran Resistencia,1,41019,0.4391135815110071,109.3477226840892,26.65782263928648
Gran Resistencia,2,48406,0.5373300830475561,71.97586069489574,14.86920230857657
Gran Resistencia,3,41303,0.511294579086265,100.23254596912359,24.267618809559497
Gran Resistencia,4,44663,0.5266327832881804,120.41840915330994,26.961558595103313
Gran Resistencia,5,40962,0.5275133050144036,99.40929605501695,24.268662676387127
Gran Resistencia,6,38450,0.7647854356306892,89.97519260301662,23.400570247858678
Gran Resistencia,7,39233,0.7720286493513114,130.3336934688049,33.22042501690029
Gran Resistencia,8,34912,0.8947066911090742,170.84882865362061,48.93699262534963
Gran Resistencia,9,30585,0.8262547000163479,184.95435969080046,60.472244463233764
Gran Resistencia,10,26193,0.9436108884052992,302.2213527841187,115.38248875047483
Gran Rosario,1,185301,0.5659926282103173,3360.1898719412334,181.33684502194987
Gran Rosario,2,176269,0.5161486137664593,2231.931137548423,126.6207408874177
Gran Rosario,3,152132,0.5828556779638735,3069.8844903153313,201.79084547073143
Gran Rosario,4,137952,0.6346120389700766,2969.999396703326,215.2922318417512
Gran Rosario,5,121964,0.7082991702469581,2252.6197450177697,184.69546300693398
Gran Rosario,6,115810,0.7458423279509542,1152.833899928472,99.5452810576351
Gran Rosario,7,101488,0.8223927952073151,2231.014895070061,219.8304129621296
Gran Rosario,8,87518,0.9303114787815078,1479.737737709318,169.07810252854475
Gran Rosario,9,80440,0.9746146195922427,1758.3795014412005,218.59516427662862
Gran Rosario,10,74546,0.9329273200439997,2061.0318083904576,276.47785372661946
Gran Rosario,NA,0,NaN,2.587118952310164,Inf
Gran San Juan,1,61436,0.6213620678429586,63.674304209151025,10.364331045177261
Gran San Juan,2,58256,0.41372562482834385,32.75061539911329,5.62184417040533
Gran San Juan,3,55476,0.6703619583243204,115.22491581290576,20.770227812550612
Gran San Juan,4,55384,0.5370143001588906,47.580653531851084,8.591046788215204
Gran San Juan,5,46066,0.5286545391394956,53.21877619581728,11.552723526205286
Gran San Juan,6,47514,0.7584290945826493,63.64053732297806,13.39406013448206
